school,journal,year,author,paper_key,tags,affiliation
MIT,OR,2025,David Simchi-Levi,doi:10.1287/opre.2024.0865,engineering,"Institute for Data, Systems and Society, Operations Research Center, Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,OR,2025,David Simchi-Levi,doi:10.1287/opre.2020.0753,engineering,"Department of Civil and Environmental Engineering, Operations Research Center, and Institute for Data, Systems, and Society, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
NYU (Stern),OR,2025,Ilan Lobel,doi:10.1287/opre.2021.0369,statistics,"Technology, Operations, and Statistics, Stern School of Business, New York University, New York, New York 10012"
NYU (Stern),OR,2025,Jiawei Zhang,doi:10.1287/opre.2022.0641,statistics,"Department of Technology, Operations and Statistics, Stern School of Business, New York University, New York, New York 10012"
Wharton (UPenn),OR,2025,Shane T. Jensen,doi:10.1287/opre.2022.0113,statistics,"Department of Statistics and Data Science, The Wharton School of the University of Pennsylvania, Philadelphia, Pennsylvania 19104;"
Columbia,OR,2025,Will Ma,doi:10.1287/opre.2023.0339,statistics,"Graduate School of Business, Columbia University, New York, New York 10027; and Data Science Institute, Columbia University, New York, New York 10027"
MIT,OR,2025,Chaoyi Zhao,doi:10.1287/opre.2024.1133,engineering,"Sloan School of Management and Laboratory for Financial Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142"
Wharton (UPenn),OR,2025,Ying Jin,doi:10.1287/opre.2023.0001,statistics,"Department of Statistics and Data Science, The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104"
Wharton (UPenn),OR,2025,Zhimei Ren,doi:10.1287/opre.2023.0001,statistics,"Department of Statistics and Data Science, The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104"
SMU (Cox),OR,2025,Yanhan (Savannah) Tang,doi:10.1287/opre.2022.0131,information_systems,"Department of Information Technology and Operations Management, Cox School of Business, Southern Methodist University, Dallas, Texas 75205"
UT Dallas,OR,2025,Alain Bensoussan,doi:10.1287/opre.2020.0495,statistics,"Naveen Jindal School of Management, The University of Texas at Dallas, Richardson, Texas 75080; and School of Data Science, City University of Hong Kong, Kowloon Tong, Hong Kong"
Columbia,OR,2025,Will Ma,doi:10.1287/opre.2023.0181,statistics,"Graduate School of Business, Columbia University, New York, New York 10027; and Data Science Institute, Columbia University, New York, New York 10027"
MIT,OR,2025,David Simchi-Levi,doi:10.1287/opre.2021.0499,engineering,"Institute for Data, Systems, and Society, Department of Civil & Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
NYU (Stern),OR,2025,Jiawei Zhang,doi:10.1287/opre.2022.0309,statistics,"Department of Technology, Operations & Statistics, Stern School of Business, New York University, New York, New York 10012"
UW (Foster),MSOM,2021,Masha Shunko,doi:10.1287/msom.2020.0924,information_systems,"Information Systems and Operations Management, Foster School of Business, University of Washington, Seattle, Washington 98195;"
Dartmouth (Tuck),MSOM,2021,Jiwen Ge,doi:10.1287/msom.2019.0806,economics,"Institute of Supply Chain Analytics, Dongbei University of Finance and Economics, 116012 Dalian, China; ; Tuck School of Business, Dartmouth College, Hanover, New Hampshire 03755;"
Toronto (Rotman),MSOM,2022,Ming Hu,doi:10.1287/msom.2020.0952,statistics,"Operations Management and Statistics, Rotman School of Management, University of Toronto, Toronto, Ontario M5S 3E6, Canada;"
Toronto (Rotman),MSOM,2022,Ming Hu,doi:10.1287/msom.2020.0923,statistics,"Operations Management and Statistics, Rotman School of Management, University of Toronto, Toronto, Ontario M5S 3E6, Canada;"
Toronto (Rotman),MSOM,2022,Nooshin Salari,doi:10.1287/msom.2022.1081,engineering,"Rotman School of Management, University of Toronto, Toronto, Ontario M5S 1A1, Canada ; Department of Industrial Engineering and Operations Research, University of California, Berkeley, Berkeley, California 94720"
NYU (Stern),MSOM,2022,Shixin Wang,doi:10.1287/msom.2020.0913,statistics,"Department of Technology, Operations, and Statistics, Stern School of Business, New York University, New York, New York 10012;"
NYU (Stern),MSOM,2022,Jiawei Zhang,doi:10.1287/msom.2020.0913,statistics,"Department of Technology, Operations, and Statistics, Stern School of Business, New York University, New York, New York 10012"
Northwestern (Kellogg),MSOM,2022,Achal Bassamboo,doi:10.1287/msom.2021.0976,economics,"Department of Managerial Economics and Decision Sciences, Kellogg School of Management, Northwestern University, Evanston, Illinois 60208"
Notre Dame (Mendoza),MSOM,2023,Kaitlin D. Wowak,doi:10.1287/msom.2023.1192,information_systems,"Department of Information Technology, Analytics, and Operations, Mendoza College of Business, University of Notre Dame, Notre Dame, Indiana 46556"
Notre Dame (Mendoza),MSOM,2023,John P. Lalor,doi:10.1287/msom.2023.1192,information_systems,"Department of Information Technology, Analytics, and Operations, Mendoza College of Business, University of Notre Dame, Notre Dame, Indiana 46556"
Notre Dame (Mendoza),MSOM,2023,Sriram Somanchi,doi:10.1287/msom.2023.1192,information_systems,"Department of Information Technology, Analytics, and Operations, Mendoza College of Business, University of Notre Dame, Notre Dame, Indiana 46556"
Notre Dame (Mendoza),MSOM,2023,Corey M. Angst,doi:10.1287/msom.2023.1192,information_systems,"Department of Information Technology, Analytics, and Operations, Mendoza College of Business, University of Notre Dame, Notre Dame, Indiana 46556"
NYU (Stern),MSOM,2023,Divya Singhvi,doi:10.1287/msom.2022.1160,statistics,"Department of Technology, Operations, and Statistics, Leonard N. Stern School of Business, New York University, New York, New York 10012"
