rankings_school,year,ms_std_papers,ms_personal_papers,ms_std_citations,ms_personal_citation_weighted,or_std_papers,or_personal_papers,or_std_citations,or_personal_citation_weighted,msom_std_papers,msom_personal_papers,msom_std_citations,msom_personal_citation_weighted
UCLA (Anderson),2026,1.0000,1.0000,0.0000,0.0000,2.0000,2.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000
Northwestern (Kellogg),2016,2.0000,4.0000,147.0000,333.0000,0.0000,0.0000,0.0000,0.0000,2.0000,3.0000,75.0000,127.0000
Northwestern (Kellogg),2017,2.0000,3.0000,278.0000,506.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,85.0000,85.0000
Northwestern (Kellogg),2018,1.0000,1.0000,26.0000,26.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Northwestern (Kellogg),2019,9.0000,9.0000,482.0000,482.0000,2.0000,2.0000,0.0000,0.0000,3.0000,4.0000,173.0000,249.0000
Northwestern (Kellogg),2020,2.0000,2.0000,157.0000,157.0000,1.0000,1.0000,0.0000,0.0000,3.0000,4.0000,155.0000,166.0000
Northwestern (Kellogg),2021,4.0000,4.0000,98.0000,98.0000,2.0000,2.0000,0.0000,0.0000,1.0000,1.0000,55.0000,55.0000
Northwestern (Kellogg),2022,4.0000,4.0000,225.0000,225.0000,1.0000,1.0000,0.0000,0.0000,5.0000,5.0000,219.0000,219.0000
Northwestern (Kellogg),2023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,4.0000,73.0000,73.0000
Northwestern (Kellogg),2024,1.0000,1.0000,22.0000,22.0000,3.0000,3.0000,0.0000,0.0000,2.0000,3.0000,17.0000,19.0000
Northwestern (Kellogg),2025,3.0000,4.0000,2.0000,3.0000,5.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Northwestern (Kellogg),2026,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Stanford,2016,3.0000,4.0000,754.0000,1145.0000,3.0000,3.0000,0.0000,0.0000,4.0000,7.0000,666.0000,1062.0000
Stanford,2017,4.0000,4.0000,355.0000,355.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Stanford,2018,4.0000,5.0000,656.0000,742.0000,6.0000,7.0000,0.0000,0.0000,1.0000,1.0000,92.0000,92.0000
Stanford,2019,5.0000,5.0000,442.0000,442.0000,3.0000,4.0000,0.0000,0.0000,2.0000,3.0000,83.0000,161.0000
Stanford,2020,3.0000,3.0000,258.0000,258.0000,2.0000,2.0000,0.0000,0.0000,5.0000,6.0000,394.0000,487.0000
Stanford,2021,6.0000,9.0000,75.0000,86.0000,2.0000,3.0000,0.0000,0.0000,3.0000,3.0000,59.0000,59.0000
Stanford,2022,3.0000,3.0000,28.0000,28.0000,4.0000,6.0000,0.0000,0.0000,1.0000,1.0000,33.0000,33.0000
Stanford,2023,1.0000,1.0000,37.0000,37.0000,3.0000,5.0000,0.0000,0.0000,1.0000,1.0000,27.0000,27.0000
Stanford,2024,5.0000,8.0000,61.0000,79.0000,2.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Stanford,2025,3.0000,3.0000,12.0000,12.0000,3.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Stanford,2026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Minnesota (Carlson),2016,1.0000,2.0000,162.0000,324.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Minnesota (Carlson),2017,1.0000,1.0000,124.0000,124.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,156.0000,156.0000
Minnesota (Carlson),2018,3.0000,3.0000,256.0000,256.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Minnesota (Carlson),2019,2.0000,3.0000,160.0000,188.0000,0.0000,0.0000,0.0000,0.0000,1.0000,3.0000,38.0000,114.0000
Minnesota (Carlson),2020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,3.0000,318.0000,318.0000
